CRSE_GRADE_OFF,percentile in HS class,ACTMATH,ACTCOMP,YEARS_OF_STUDY_ACT,ALG SCORE,MBSC SCORE,TRIG SCORE,self reported math GPA,placement
AB,,25,24,8,, , ,3.3,MATH B
A,,25,26,0,630,560,500,3.5,MATH D
B,,28,25,0,, , ,,MATH B
D,0.65,24,22,8,530,680,420,,MATH D
F,0.89,26,25,8,660,680,650,4,MATH E
B,0.87,31,30,4,600,680,690,4,MATH D
C,0.69,25,25,8,460,530,420,3.6,MATH B
D,0.82,22,27,8,400,340,360,3,MATH B
BC,0.59,24,24,8,450,560,420,3,MATH C
C,,18,19,8,380,300,270,,MATH A
B,0.77,25,22,8,440,640,510,4,MATH C
A,,26,24,6,440,530,430,4,MATH C
BC,,23,23,5,470,580,540,3.8,MATH C
B,0.93,19,19,8,490,650,500,4,MATH C
B,0.94,26,27,8,540,510,660,4,MATH D
AB,,25,26,0,660,640,820,4,MATH E
B,0.83,23,22,6,510,490,470,4,MATH C
AB,0.62,26,25,4,560,720,520,3,MATH D
D,0.85,18,28,7,410,530,480,,MATH B
B,0.92,24,23,6,450,640,260,4,MATH C
AB,,26,24,8,, , ,4,MATH B
BC,0.74,28,22,5,480,640,440,3.5,MATH C
C,0.77,24,27,8,530,610,490,3,MATH D
B,0.98,26,29,8,610,640,540,4,MATH D
A,,26,23,5,570,610,420,,MATH D
AB,0.67,25,25,7,530,610,510,3.5,MATH D
AB,,24,24,8,570,610,560,3.5,MATH D
B,,24,25,6,520,640,620,,MATH D
A,0.69,30,27,5,760,720,620,3.2,MATH E
B,0.77,27,24,8,580,610,560,3.7,MATH D
A,0.97,34,29,8,700,800,660,4,MATH E
B,0.69,25,28,8,510,720,600,4,MATH D
B,0.83,28,26,8,520,680,460,,MATH D
C,0.58,28,25,8,640,580,590,3,MATH E
C,,27,26,8,580,640,480,3.3,MATH D
B,,24,25,8,520,610,470,4,MATH D
BC,,20,21,8,490,490,380,3.7,MATH B
C,0.58,22,21,6,510,530,430,3, 
AB,0.87,32,27,5,540,580,690,3.5,MATH D
AB,0.74,26,24,8,570,560,480,3.5,MATH D
B,,27,28,8,480,530,600,3.5,MATH C
C,0.8,26,22,8,490,610,560,3,MATH C
D,0.71,23,25,8,410,470,430,4,MATH B
AB,,32,33,8,680,680,820,3.3,MATH E
A,0.96,26,26,8,680,640,520,4,MATH D
C,0.79,24,21,7,490,640,510,4,MATH C
B,0.86,28,28,8,570,610,660,4,MATH D
A,,32,28,8,850,850,850,4,MATH E
AB,,24,25,5,490,720,570,3.7,MATH C
BC,0.8,24,24,0,490,560,380,4,MATH C
D,0.42,22,24,8,450,440,480,3.7,MATH B
F,0.8,27,28,7,430,640,520,2.2,MATH C
C,0.54,26,26,8,380,470,460,3.3,MATH B
B,0.97,27,23,8,540,680,600,4,MATH D
AB,0.9,27,28,8,560,720,500,4,MATH D
B,0.98,25,24,8,570,510,550,4,MATH D
AB,,25,30,6,600,490,480,,MATH D
A,0.52,28,29,8,730,850,650,3.3,MATH E
B,0.82,23,24,8,360,510,440,3.8,MATH B
F,,26,26,8,520,560,550,,MATH D
AB,0.67,27,26,8,610,800,690,, 
F,0.69,22,22,8,520,530,380,3,MATH D
BC,0.71,25,23,6,490,560,590,3,MATH C
C,0.87,22,21,7,450,510,470,4,MATH B
BC,0.9,26,24,8,530,800,550,3.8,MATH D
B,0.8,25,23,8,530,530,490,3.7,MATH D
AB,0.85,28,28,8,630,720,570,3.8,MATH E
C,,25,27,8,490,510,520,3.8,MATH C
F,0.72,20,22,8,360,420,380,3.7,MATH B
AB,0.81,25,23,8,490,560,510,3.8,MATH C
A,0.8,25,27,8,570,720,520,3.7,MATH D
C,,22,25,0,470,440,480,3,MATH B
B,,22,20,6,360,370,390,3.3,MATH B
BC,0.79,25,24,6,630,610,480,3.8,MATH D
B,0.86,23,22,6,530,510,460,4,MATH D
A,,26,23,6,600,680,690,4, 
BC,0.95,31,28,8,810,720,650,4,MATH E
C,,24,24,6,450,510,600,3.8,MATH B
C,,25,24,8,430,470,420,3.5,MATH B
B,0.75,22,26,0,410,560,410,,MATH B
B,0.97,29,29,7,560,720,520,4,MATH D
B,,21,24,8,460,490,390,4,MATH B
BC,0.84,22,22,6,360,250,380,3.5,MATH B
AB,0.79,26,24,8,600,640,620,3,MATH D
F,0.63,24,23,5,510,470,430,3.5,MATH C
A,0.89,28,30,8,, , ,4, 
F,0.67,23,22,8,560,610,490,3,MATH D
B,0.65,26,27,8,540,610,510,3.5,MATH D
BC,0.89,23,26,6,600,800,500,3.5,MATH D
B,,25,21,8,400,580,440,3,MATH B
B,,25,26,6,490,490,480,3.5,MATH C
BC,,23,23,6,570,680,510,3.6, 
AB,0.74,25,23,6,360,580,410,,MATH B
BC,0.55,26,27,6,400,490,480,3,MATH B
C,0.85,23,25,8,380,470,420,3.4,MATH B
BC,0.93,23,24,8,600,580,600,4,MATH D
AB,0.8,29,25,7,600,640,500,4,MATH D
B,0.76,25,23,6,510,510,500,3.8,MATH C
D,0.9,19,22,5,570,510,380,3.3,MATH B
A,0.87,29,28,8,730,800,620,4,MATH E
B,0.61,19,20,8,450,510,470,3,MATH B
A,,26,26,8,730,790,500,3.7,MATH D
AB,0.91,26,27,8,580,580,390,4,MATH D
C,0.91,19,22,6,450,560,380,3.5,MATH B
BC,0.85,23,22,6,600,640,620,,MATH D
AB,,34,29,8,700,800,820,3.3,MATH E
D,0.45,18,19,8,450,400,440,3.3,MATH B
C,0.89,25,24,8,380,490,380,4,MATH B
C,,26,22,4,610,490,590,3.5,MATH D
B,,18,20,6,520,600,440,2.8,MATH C
C,,23,23,8,480,530,430,3.3,MATH C
A,0.93,29,26,8,660,800,550,4,MATH D
B,0.8,29,27,6,660,800,690,4,MATH E
C,0.62,21,26,0,460,560,520,3.3,MATH B
C,0.83,25,26,6,520,610,480,3,MATH D
AB,,23,25,0,430,440,420,,MATH B
D,,24,23,5,570,580,600,3.3,MATH D
D,,22,19,8,, , ,3,MATH B
BC,0.88,23,21,5,150,150,150,4, 
BC,0.93,23,19,8,520,580,500,4,MATH D
BC,0.9,18,21,8,450,470,380,3,MATH B
AB,0.92,23,23,8,540,560,560,4,MATH D
A,,27,24,8,580,640,600,4,MATH D
AB,,26,25,6,510,720,520,3,MATH D
D,,22,22,6,340,420,310,1.8,MATH B
AB,0.93,24,28,7,600,530,460,3.5,MATH D
AB,0.66,24,24,7,490,530,500,3,MATH C
C,,27,24,8,640,720,630,,MATH E
A,,29,29,8,850,680,590,3.8,MATH E
A,0.83,27,23,6,480,490,500,3.5,MATH C
BC,0.7,25,24,6,530,530,460,4,MATH D
B,,26,28,4,520,560,460,3,MATH D
BC,0.79,30,27,8,580,720,520,3, 
BC,0.95,26,23,8,570,580,420,4,MATH D
B,,23,21,6,570,560,600,4, 
AB,0.86,22,22,8,540,560,540,3.8,MATH D
B,,25,23,4,490,560,460,3.5,MATH C
AB,0.97,28,24,8,660,580,740,4,MATH E
D,,18,20,8,470,400,430,3,MATH B
C,,33,31,8,710,850,600,3.5,MATH E
AB,0.8,28,28,5,530,640,690,4,MATH D
AB,,27,26,6,580,610,550,3.4,MATH D
C,0.64,24,22,0,480,420,490,,MATH C
D,,22,22,6,480,480,480,2, 
C,0.87,22,24,5,560,560,560,4,MATH D
B,0.67,24,22,6,610,580,510,3.8,MATH D
AB,,18,25,0,400,400,390,3.3,MATH B
D,0.74,22,21,5,520,490,660,3.3,MATH C
B,0.74,22,21,5,520,490,660,3.3,MATH C
F,0.79,21,24,8,400,400,430,3.3,MATH B
B,,23,24,5,540,510,460,3, 
AB,,25,25,8,540,580,500,3.7,MATH D
BC,,24,25,5,540,510,490,3,MATH D
AB,0.98,28,31,5,600,850,570,4,MATH D
BC,0.65,26,27,5,470,560,600,3,MATH C
C,0.77,16,19,0,430,570,410,3, 
F,,26,23,8,480,560,430,3.5,MATH C
BC,0.84,25,27,8,360,530,470,3.3,MATH B
BC,0.77,20,20,0,340,440,350,4,MATH B
C,0.72,26,23,6,540,490,620,,MATH D
C,0.78,23,22,6,600,470,590,3.7,MATH D
C,0.76,23,23,8,480,530,490,,MATH C
D,,22,22,6,450,440,440,3.8,MATH B
A,0.81,29,29,8,680,680,550,4,MATH D
B,0.83,26,28,6,510,530,550,4, 
AB,,31,29,8,700,680,550,4,MATH D
C,0.96,23,23,6,410,440,490,4,MATH B
B,0.65,23,24,0,400,400,420,3,MATH B
A,0.95,26,24,8,560,530,520,4,MATH D
BC,0.63,28,26,8,630,680,620,3.8,MATH E
D,0.73,20,24,6,410,530,430,3.7,MATH B
C,0.82,21,23,5,430,440,430,3.7,MATH B
C,0.7,20,20,5,480,440,520,3.7,MATH B
B,0.88,25,22,6,680,610,660,3,MATH E
D,,28,25,8,530,610,550,3,MATH D
BC,0.64,24,24,8,470,730,490,2.7,MATH C
B,0.74,24,22,5,600,680,520,4,MATH D
BC,,20,21,8,480,580,460,3,MATH C
B,0.74,28,26,0,600,610,620,,MATH D
B,0.77,23,22,5,510,490,500,,MATH C
A,0.71,24,22,6,510,490,500,4,MATH C
C,0.67,23,24,6,490,540,410,4,MATH C
A,0.98,30,28,8,680,800,660,4,MATH E
AB,,28,31,6,680,800,690,4,MATH E
F,0.69,28,28,8,530,680,620,3.5,MATH D
A,,26,25,8,630,640,600,4,MATH E
D,0.77,24,25,6,580,560,460,3,MATH D
D,0.77,24,25,6,580,560,460,3,MATH D
B,0.73,20,22,6,560,610,590,3,MATH C
AB,0.98,26,25,6,610,720,490,4,MATH D
C,0.72,26,28,8,640,610,570,4,MATH E
B,,20,22,5,480,580,390,3,MATH C
A,0.82,28,26,6,630,680,570,4,MATH E
BC,0.72,25,24,8,520,530,520,4,MATH D
BC,0.75,25,27,8,410,530,460,3.8,MATH B
C,0.76,24,25,6,380,470,480,3, 
BC,0.74,29,27,8,600,680,600,3.8, 
B,0.71,25,23,8,580,610,500,3, 
F,0.63,23,24,0,570,580,480,,MATH D
BC,,24,21,6,320,510,420,3,MATH B
AB,0.59,28,24,5,680,680,690,3.7,MATH E
D,,20,21,5,440,470,540,2.3, 
B,,22,23,8,490,400,430,4,MATH C
AB,,28,25,5,600,680,560,4,MATH D
B,0.56,26,25,6,440,580,380,,MATH C
C,0.85,24,29,7,440,580,460,3.2,MATH C
B,0.95,21,25,8,450,510,550,4,MATH B
B,0.94,27,25,5,600,680,660,4,MATH D
D,,23,27,6,, , ,3, 
B,0.94,21,23,8,530,610,620,4,MATH D
AB,0.58,23,24,6,,,,3.3,MATH B
A,,28,26,5,540,720,520,4,MATH D
C,,23,24,0,450,440,470,,MATH B
AB,0.77,24,22,6,520,490,500,4,MATH C
B,0.79,24,24,5,600,720,660,3.5,MATH D
AB,,25,26,6,390,520,450,3,MATH B
B,0.83,24,22,6,530,530,560,3.7,MATH D
C,0.74,25,25,8,600,640,520,3.5,MATH D
AB,0.86,27,27,8,,,,4, 
B,0.79,23,23,7,520,510,490,,MATH C
BC,0.96,18,24,8,480,440,350,4,MATH B
C,,27,24,8,480,610,510,3.3,MATH C
A,0.81,26,25,5,510,600,600,3,MATH D
C,0.79,28,26,8,470,640,520,3.8,MATH C
C,0.63,28,25,8,490,580,520,,MATH C
B,,24,26,8,430,560,440,3,MATH C
AB,0.97,27,28,8,660,720,550,4, 
B,0.67,24,26,6,430,470,500,3.3, 
AB,0.56,24,20,5,510,470,500,3,MATH C
BC,,23,22,6,510,610,500,4,MATH D
AB,0.83,24,22,5,410,440,390,2.6, 
BC,0.79,26,24,6,570,720,480,3.8, 
B,,21,26,8,520,560,470,3.7, 
A,0.86,23,25,6,520,560,520,3.7,MATH D
A,0.93,30,27,8,730,640,620,3.8,MATH E
B,0.78,18,23,6,530,510,600,3.7,MATH B
BC,0.76,28,25,6,580,640,410,3.3,MATH D
F,,19,19,6,440,400,410,3.5,MATH B
BC,,28,23,8,530,560,560,3.3,MATH D
B,0.91,24,22,8,450,560,460,3.8,MATH C
AB,0.91,22,23,6,520,640,380,4,MATH D
AB,0.61,24,22,8,430,510,410,2.7,MATH B
BC,0.83,24,21,6,490,470,420,3.7,MATH C
C,,21,25,6,530,530,510,2.3,MATH B
C,0.66,22,25,5,400,420,360,3,MATH B
A,0.9,27,28,6,600,610,660,4,MATH D
AB,,20,22,8,620,600,540,4,MATH C
C,,29,29,0,570,680,540,,MATH D
B,,28,24,5,540,640,590,3,MATH D
B,,29,27,8,640,850,430,4,MATH D
AB,0.85,26,24,0,490,490,440,3.7,MATH C
BC,,26,23,8,490,730,500,4,MATH C
B,,22,23,6,490,470,510,4, 
BC,0.83,27,30,8,570,640,490,3.3,MATH D
B,,28,30,8,450,580,560,3.3,MATH C
B,0.78,31,30,8,660,800,570,4,MATH E
A,,24,23,5,570,530,600,4, 
B,0.81,26,27,8,510,530,560,,MATH D
BC,0.83,25,23,0,540,560,430,,MATH D
B,0.85,25,25,6,520,530,570,3.5,MATH D
C,0.66,16,18,8,410,420,320,3,MATH B
A,,30,29,6,680,680,740,4,MATH E
A,0.98,26,28,6,570,640,480,4,MATH D
C,0.85,23,22,8,470,560,490,3.5,MATH C
B,,22,21,8,530,530,540,3.8,MATH D
AB,,26,26,0,600,510,560,, 
C,,27,26,8,510,510,520,,MATH C
AB,0.9,30,31,8,600,720,740,4,MATH D
AB,0.76,27,25,8,580,630,450,3.7,MATH D
A,,21,23,6,520,490,440,3.3,MATH C
D,,23,23,6,380,470,440,3.3,MATH B
A,0.87,28,31,8,700,680,550,4,MATH D
A,,26,29,8,730,640,620,4,MATH E
B,0.66,17,22,8,440,440,480,3,MATH B
C,0.67,21,25,8,400,440,420,3,MATH B
C,0.82,23,28,5,440,640,460,4,MATH C
A,,28,30,8,810,720,820,4,MATH E
A,0.97,27,24,8,470,610,410,3.5,MATH C
D,0.63,23,24,6,530,640,500,3,MATH D
D,,22,23,6,380,420,490,3.3, 
AB,0.83,30,31,8,610,610,660,,MATH E
BC,0.57,24,29,6,540,540,520,3.6,MATH D
AB,0.9,25,28,8,530,610,570,4,MATH D
C,0.86,20,22,8,430,530,420,3, 
C,0.61,16,19,8,442,440,410,3, 
C,0.77,23,27,8,410,510,420,3.8,MATH B
A,0.94,31,32,8,600,800,500,4,MATH D
C,0.67,24,23,7,530,670,550,4,MATH D
BC,,24,23,7,540,510,430,3.3,MATH D
BC,0.85,23,22,6,430,470,420,3.5,MATH B
B,0.91,23,23,7,640,580,600,3.3,MATH E
BC,0.75,22,23,6,400,510,460,4,MATH B
A,,24,29,6,530,490,460,3.2,MATH D
B,0.77,26,25,6,640,640,560,4,MATH E
B,,32,28,8,660,680,690,3.8,MATH E
D,0.47,21,21,8,410,470,310,3.3,MATH B
B,,27,23,8,730,800,690,3.2,MATH E
AB,0.71,21,23,0,430,490,560,4,MATH B
AB,0.85,28,25,6,560,720,600,4,MATH D
AB,0.63,22,29,0,320,560,390,,MATH B
C,0.81,24,22,6,580,720,520,4,MATH D
D,,32,29,6,610,800,740,3,MATH E
BC,,32,29,6,610,800,740,3,MATH E
D,0.87,22,22,6,430,580,480,4,MATH C
D,0.82,26,23,5,520,580,510,,MATH D
A,0.98,25,25,8,580,720,560,4,MATH D
B,0.92,28,24,6,640,720,620,4,MATH E
AB,0.97,30,30,8,730,640,660,4,MATH E
C,0.92,28,25,8,810,720,660,4,MATH E
C,0.78,23,22,8,480,510,480,4,MATH C
A,0.92,26,25,6,640,680,600,4,MATH E
B,0.73,23,23,8,570,530,600,4,MATH D
B,0.8,31,28,6,630,800,650,4,MATH E
A,0.94,26,29,8,560,560,430,4,MATH D
A,0.95,25,27,6,640,640,520,4,MATH D
B,0.67,26,21,8,560,610,460,3.5,MATH D
C,0.75,23,22,6,410,440,470,3,MATH B
D,0.64,25,23,0,380,470,360,3.3,MATH B
AB,0.91,26,23,8,520,640,500,4, 
C,0.7,24,27,8,540,560,460,4,MATH D
D,0.8,23,26,8,470,510,380,,MATH B
BC,0.82,25,25,6,450,510,590,3.8,MATH B
A,,27,30,8,610,680,520,3.5,MATH D
B,0.73,25,21,4,470,600,380,,MATH C
C,0.89,23,23,6,610,580,520,4,MATH D
C,0.72,24,27,8,440,520,250,3.6,MATH C
D,0.76,26,24,8,480,470,480,3.6,MATH C
AB,,30,26,8,610,720,740,3.6,MATH E
D,0.58,25,22,8,490,500,480,3.3,MATH C
A,0.88,31,27,8,700,680,540,4,MATH D
B,0.7,23,22,6,440,650,540,,MATH C
AB,0.87,26,25,8,600,560,520,3.8,MATH D
A,0.9,28,27,5,570,680,560,3.3, 
B,0.8,24,23,7,390,430,400,,MATH B
A,0.81,24,26,0,520,610,600,3,MATH D
A,0.94,25,23,8,610,720,570,4,MATH E
A,0.69,29,25,8,510,560,510,2.8,MATH D
AB,0.7,27,23,6,490,640,570,3,MATH C
B,0.86,25,21,5,520,510,350,3.7,MATH C
AB,0.71,26,26,6,610,610,570,4,MATH E
F,0.84,28,28,8,510,530,520,3.8,MATH D
B,0.8,26,22,8,450,530,560,4,MATH C
F,0.48,22,21,6,430,510,440,3.5,MATH B
C,,25,27,6,610,800,740,3.3,MATH E
D,0.83,25,26,6,450,440,410,3.8,MATH B
A,0.99,27,26,6,680,800,570,4,MATH E
C,0.66,26,23,8,430,610,470,3.6,MATH C
AB,0.91,23,22,6,440,580,480,4,MATH C
C,,24,22,8,430,370,470,3.3,MATH B
B,0.68,25,23,5,530,720,430,3.8,MATH D
A,,25,26,8,490,530,570,4,MATH C
B,0.62,23,25,8,520,560,550,3.3, 
BC,,25,24,8,400,490,500,2.6,MATH B
C,0.69,23,23,6,450,610,380,2,MATH C
AB,0.86,24,27,8,340,470,380,3.3,MATH B
AB,0.84,22,23,5,520,530,380,3,MATH D
B,0.92,22,23,5,560,610,550,4, 
C,0.65,22,23,7,430,420,410,3.8,MATH B
BC,0.62,29,23,8,600,720,600,3.5,MATH D
F,,26,26,8,470,640,470,3.6,MATH C
F,,26,26,8,470,640,470,3.6,MATH C
B,0.6,25,25,8,480,490,500,3,MATH C
AB,0.89,25,21,8,660,610,520,4,MATH D
AB,0.99,27,26,5,700,680,660,4,MATH E
A,0.96,25,27,6,540,580,520,4,MATH D
A,0.94,23,27,8,450,510,440,4,MATH B
B,0.75,22,22,6,520,400,440,3.7,MATH C
C,0.88,23,22,8,570,580,740,4, 
C,0.59,21,23,4,380,370,380,2.3,MATH B
B,,26,25,8,510,530,490,3.3, 
C,0.86,22,25,8,380,370,390,4,MATH B
A,0.92,29,30,8,580,640,690,3.8,MATH D
A,0.99,29,26,6,680,720,740,4,MATH E
AB,0.93,26,23,8,580,640,520,4,MATH D
A,0.77,27,27,8,490,530,600,3.5,MATH C
B,0.94,27,26,8,530,640,540,3.3,MATH D
BC,0.84,24,23,8,340,580,500,3.5,MATH B
A,0.88,25,23,8,480,510,480,4,MATH C
B,0.75,19,21,8,600,440,460,3.3,MATH B
AB,0.95,26,24,8,540,640,480,4,MATH D
B,0.68,21,25,6,470,580,500,3.3,MATH C
C,0.8,24,25,6,450,510,390,4,MATH B
C,0.68,24,27,8,480,510,520,3.3,MATH C
C,,30,26,8,570,610,500,3,MATH D
A,0.63,23,23,8,430,490,460,3.8,MATH B
C,0.72,24,25,8,570,610,590,,MATH D
C,0.41,20,22,6,390,410,380,,MATH B
BC,0.88,25,28,6,510,580,440,2.6,MATH D
BC,0.9,18,20,8,430,440,350,4, 
A,0.93,26,27,8,630,720,600,4,MATH E
BC,0.62,26,22,8,540,640,520,,MATH D
A,0.78,24,25,8,580,850,620,3.5,MATH D
AB,0.79,25,24,6,570,560,560,4,MATH D
A,0.93,25,23,8,630,610,550,4,MATH D
B,0.73,20,21,5,400,470,460,2.8,MATH B
BC,0.74,23,26,5,450,490,410,3.4,MATH B
BC,0.76,18,24,8,530,560,570,3.7,MATH C
AB,0.97,28,27,8,610,680,590,3.8,MATH E
A,,31,29,8,850,680,850,4,MATH E
C,0.85,29,22,8,640,510,620,3.3,MATH D
AB,0.78,24,26,6,520,730,480,3.4,MATH D
AB,0.85,30,27,8,730,720,820,4,MATH E
B,,21,24,8,410,370,410,2.7, 
A,0.97,28,27,6,610,680,740,4,MATH E
A,0.94,26,25,8,530,580,620,4,MATH D
AB,0.92,24,26,5,480,440,500,4,MATH C
A,0.98,28,26,8,610,720,600,4,MATH E
B,0.88,23,24,6,430,510,380,3.7,MATH B
